trial_index,seed,gallery_images_per_identity,identity_count,probe_count,gallery_image_count,top_1,top_3,top_5,top_10,mrr,mean_true_identity_rank,median_true_identity_rank
22,20260847,2,123,123,246,0.983739837398374,0.983739837398374,0.983739837398374,0.983739837398374,0.9842023660621221,1.5609756097560976,1.0
22,20260847,3,123,123,369,0.983739837398374,0.983739837398374,0.983739837398374,0.983739837398374,0.9842592592592593,1.5447154471544715,1.0
22,20260847,4,123,123,492,0.983739837398374,0.983739837398374,0.983739837398374,0.983739837398374,0.9842184528595678,1.5934959349593496,1.0
22,20260847,5,123,123,615,0.983739837398374,0.983739837398374,0.983739837398374,0.983739837398374,0.984208880550344,1.6178861788617886,1.0
23,20260848,1,123,123,123,0.9512195121951219,0.975609756097561,0.975609756097561,0.975609756097561,0.9602738750889813,2.203252032520325,1.0
23,20260848,2,123,123,246,0.975609756097561,0.983739837398374,0.983739837398374,0.983739837398374,0.9803297199638664,1.4634146341463414,1.0
23,20260848,3,123,123,369,0.983739837398374,0.983739837398374,0.983739837398374,0.983739837398374,0.984299964580193,1.5365853658536586,1.0
23,20260848,4,123,123,492,0.991869918699187,0.991869918699187,0.991869918699187,0.991869918699187,0.9922086720867209,1.1869918699186992,1.0
23,20260848,5,123,123,615,0.991869918699187,0.991869918699187,0.991869918699187,0.991869918699187,0.9921710328214394,1.2113821138211383,1.0
24,20260849,1,123,123,123,0.9186991869918699,0.9512195121951219,0.9512195121951219,0.9512195121951219,0.9346299828608291,4.219512195121951,1.0
24,20260849,2,123,123,246,0.967479674796748,0.975609756097561,0.975609756097561,0.975609756097561,0.9723641760227126,1.9024390243902438,1.0
24,20260849,3,123,123,369,0.983739837398374,0.983739837398374,0.983739837398374,0.983739837398374,0.9842255305669939,1.7317073170731707,1.0
24,20260849,4,123,123,492,0.983739837398374,0.983739837398374,0.983739837398374,0.983739837398374,0.9842017202780723,1.7804878048780488,1.0
24,20260849,5,123,123,615,0.991869918699187,0.991869918699187,0.991869918699187,0.991869918699187,0.9921951219512196,1.1951219512195121,1.0
25,20260850,1,123,123,123,0.9512195121951219,0.967479674796748,0.967479674796748,0.967479674796748,0.9602368268237365,2.4146341463414633,1.0
25,20260850,2,123,123,246,0.959349593495935,0.975609756097561,0.975609756097561,0.975609756097561,0.9668978101458768,2.016260162601626,1.0
25,20260850,3,123,123,369,0.983739837398374,0.983739837398374,0.983739837398374,0.983739837398374,0.9842753065749581,1.5609756097560976,1.0
25,20260850,4,123,123,492,0.983739837398374,0.983739837398374,0.983739837398374,0.983739837398374,0.984245709123758,1.5528455284552845,1.0
25,20260850,5,123,123,615,0.983739837398374,0.983739837398374,0.983739837398374,0.983739837398374,0.9842292737308643,1.5691056910569106,1.0
26,20260851,1,123,123,123,0.959349593495935,0.959349593495935,0.967479674796748,0.967479674796748,0.9624335938139363,2.902439024390244,1.0
26,20260851,2,123,123,246,0.983739837398374,0.983739837398374,0.983739837398374,0.983739837398374,0.9844299971013293,1.3902439024390243,1.0
26,20260851,3,123,123,369,0.983739837398374,0.983739837398374,0.983739837398374,0.983739837398374,0.9842983227129569,1.4796747967479675,1.0
26,20260851,4,123,123,492,0.983739837398374,0.983739837398374,0.983739837398374,0.983739837398374,0.9842508274988941,1.5284552845528456,1.0
26,20260851,5,123,123,615,0.983739837398374,0.983739837398374,0.983739837398374,0.983739837398374,0.9842373074080392,1.5528455284552845,1.0
27,20260852,1,123,123,123,0.943089430894309,0.943089430894309,0.943089430894309,0.943089430894309,0.9443353801699775,4.333333333333333,1.0
27,20260852,2,123,123,246,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.976435940775205,1.9593495934959348,1.0
27,20260852,3,123,123,369,0.983739837398374,0.983739837398374,0.983739837398374,0.983739837398374,0.9842895857530004,1.5609756097560976,1.0
27,20260852,4,123,123,492,0.983739837398374,0.983739837398374,0.983739837398374,0.983739837398374,0.9842657342657343,1.5853658536585367,1.0
27,20260852,5,123,123,615,0.983739837398374,0.983739837398374,0.983739837398374,0.983739837398374,0.9842373074080392,1.5528455284552845,1.0
28,20260853,1,123,123,123,0.926829268292683,0.9512195121951219,0.9512195121951219,0.9512195121951219,0.9376411554183051,3.6747967479674797,1.0
28,20260853,2,123,123,246,0.983739837398374,0.983739837398374,0.983739837398374,0.983739837398374,0.9843044263775971,1.7154471544715446,1.0
28,20260853,3,123,123,369,0.983739837398374,0.983739837398374,0.983739837398374,0.983739837398374,0.9841936905681455,1.829268292682927,1.0
28,20260853,4,123,123,492,0.983739837398374,0.983739837398374,0.983739837398374,0.983739837398374,0.9841666666666667,1.8373983739837398,1.0
28,20260853,5,123,123,615,0.983739837398374,0.983739837398374,0.983739837398374,0.983739837398374,0.9841656987998452,1.6991869918699187,1.0
29,20260854,1,123,123,123,0.959349593495935,0.975609756097561,0.975609756097561,0.975609756097561,0.9686841312857573,1.6016260162601625,1.0
29,20260854,2,123,123,246,0.975609756097561,0.983739837398374,0.983739837398374,0.983739837398374,0.9789412555779694,1.4959349593495934,1.0
29,20260854,3,123,123,369,0.983739837398374,0.983739837398374,0.983739837398374,0.983739837398374,0.9843017828171592,1.4878048780487805,1.0
29,20260854,4,123,123,492,0.983739837398374,0.983739837398374,0.983739837398374,0.983739837398374,0.9842237708091367,1.5528455284552845,1.0
29,20260854,5,123,123,615,0.991869918699187,0.991869918699187,0.991869918699187,0.991869918699187,0.9921409214092141,1.2357723577235773,1.0
